Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
848.0,26.0,5.0,424.0,87.0,0.0,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
879.0,38.0,5.0,407.0,92.0,0.0,0.1
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
819.0,52.0,5.0,392.0,93.0,0.0,0.2
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1093.0,34.0,5.0,407.0,96.0,0.0,0.3
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
862.0,34.0,5.0,412.0,91.0,0.0,0.4
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
755.0,47.0,5.0,410.0,80.0,0.0,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
919.0,33.0,5.0,414.0,90.0,0.0,0.6
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
959.0,43.0,5.0,406.0,88.0,0.0,0.7
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1128.0,31.0,5.0,401.0,105.0,0.0,0.8
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
999.0,34.0,5.0,401.0,102.0,0.0,0.9
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1157.0,23.0,5.0,424.0,90.0,0.0,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1013.0,38.0,5.0,434.0,65.0,0.1,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
989.0,43.0,5.0,411.0,83.0,0.1,0.1
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
991.0,52.0,5.0,402.0,83.0,0.1,0.2
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
880.0,45.0,5.0,405.0,87.0,0.1,0.3
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
945.0,47.0,5.0,410.0,80.0,0.1,0.4
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1126.0,38.0,5.0,407.0,92.0,0.1,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
904.0,31.0,5.0,420.0,86.0,0.1,0.6
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1269.0,21.0,5.0,421.0,95.0,0.1,0.7
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
935.0,33.0,5.0,421.0,83.0,0.1,0.8
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
977.0,40.0,5.0,405.0,92.0,0.1,0.9
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1002.0,41.0,5.0,411.0,85.0,0.1,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
915.0,52.0,5.0,404.0,81.0,0.2,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
940.0,30.0,5.0,396.0,111.0,0.2,0.1
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
927.0,21.0,5.0,424.0,92.0,0.2,0.2
