Iterations,Susceptible,Infected,Recovered,Dead,Board size,Death toll (%)
890,0,0,20,4,50,16
Iterations,Susceptible,Infected,Recovered,Dead,,
517,0,0,27,2,55,6.61157024793388
Iterations,Susceptible,Infected,Recovered,Dead,,
745,0,0,32,3,60,8.33333333333333
Iterations,Susceptible,Infected,Recovered,Dead,,
506,0,0,33,8,65,18.9349112426036
Iterations,Susceptible,Infected,Recovered,Dead,,
456,0,0,35,13,70,26.530612244898
Iterations,Susceptible,Infected,Recovered,Dead,,
624,0,0,50,5,75,8.88888888888889
Iterations,Susceptible,Infected,Recovered,Dead,,
812,0,0,49,13,80,20.3125
Iterations,Susceptible,Infected,Recovered,Dead,,
779,0,0,57,15,85,20.7612456747405
Iterations,Susceptible,Infected,Recovered,Dead,,
812,0,0,71,9,90,11.1111111111111
Iterations,Susceptible,Infected,Recovered,Dead,,
446,1,0,75,12,95,13.2963988919668
Iterations,Susceptible,Infected,Recovered,Dead,,
1114,0,0,88,11,100,11
Iterations,Susceptible,Infected,Recovered,Dead,,
896,0,0,89,20,105,18.140589569161
Iterations,Susceptible,Infected,Recovered,Dead,,
773,1,0,101,18,110,14.8760330578512
Iterations,Susceptible,Infected,Recovered,Dead,,
768,0,0,108,22,115,16.6351606805293
Iterations,Susceptible,Infected,Recovered,Dead,,
899,0,0,117,26,120,18.0555555555556
Iterations,Susceptible,Infected,Recovered,Dead,,
755,0,0,129,26,125,16.64
Iterations,Susceptible,Infected,Recovered,Dead,,
726,0,0,141,27,130,15.9763313609467
Iterations,Susceptible,Infected,Recovered,Dead,,
1082,0,0,152,29,135,15.9122085048011
Iterations,Susceptible,Infected,Recovered,Dead,,
1085,0,0,162,33,140,16.8367346938776
Iterations,Susceptible,Infected,Recovered,Dead,,
796,1,0,177,30,145,14.268727705113
Iterations,Susceptible,Infected,Recovered,Dead,,
1024,0,0,181,43,150,19.1111111111111
Iterations,Susceptible,Infected,Recovered,Dead,,
859,0,0,196,43,155,17.89802289282
Iterations,Susceptible,Infected,Recovered,Dead,,
1036,0,0,212,43,160,16.796875
Iterations,Susceptible,Infected,Recovered,Dead,,
1095,2,0,233,36,165,13.2231404958678
Iterations,Susceptible,Infected,Recovered,Dead,,
771,0,0,226,62,170,21.4532871972318
Iterations,Susceptible,Infected,Recovered,Dead,,
744,0,0,243,61,175,19.9183673469388
Iterations,Susceptible,Infected,Recovered,Dead,,
1107,0,0,266,57,180,17.5925925925926
Iterations,Susceptible,Infected,Recovered,Dead,,
973,0,0,273,68,185,19.8685171658145
Iterations,Susceptible,Infected,Recovered,Dead,,
946,1,0,290,69,190,19.1135734072022
Iterations,Susceptible,Infected,Recovered,Dead,,
797,0,0,311,67,195,17.6199868507561
Iterations,Susceptible,Infected,Recovered,Dead,,
791,0,0,322,77,200,19.25
