Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
926.0,42.0,5.0,412.0,83.0,0.0,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1064.0,40.0,5.0,415.0,82.0,0.0,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
953.0,25.0,5.0,424.0,88.0,0.0,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
746.0,55.0,5.0,401.0,81.0,0.25,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
970.0,50.0,5.0,385.0,102.0,0.25,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
867.0,28.0,5.0,403.0,106.0,0.25,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
944.0,30.0,5.0,407.0,100.0,0.5,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1274.0,43.0,5.0,422.0,72.0,0.5,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
935.0,48.0,5.0,387.0,102.0,0.5,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1000.0,39.0,5.0,429.0,69.0,0.75,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
998.0,26.0,5.0,411.0,100.0,0.75,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
989.0,43.0,5.0,396.0,98.0,0.75,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
914.0,32.0,5.0,400.0,105.0,1.0,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1005.0,54.0,5.0,411.0,72.0,1.0,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1101.0,39.0,5.0,414.0,84.0,1.0,1.0
