Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
970.0,195.0,5.0,287.0,55.0,0.0,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1005.0,176.0,5.0,299.0,62.0,0.0,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
697.0,263.0,5.0,237.0,37.0,0.0,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
945.0,201.0,5.0,284.0,52.0,0.25,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1085.0,110.0,5.0,358.0,69.0,0.25,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
970.0,94.0,5.0,361.0,82.0,0.25,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
946.0,130.0,5.0,327.0,80.0,0.5,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1019.0,124.0,5.0,339.0,74.0,0.5,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
998.0,48.0,5.0,393.0,96.0,0.5,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1047.0,70.0,5.0,380.0,87.0,0.75,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1041.0,111.0,5.0,365.0,61.0,0.75,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
942.0,33.0,5.0,415.0,89.0,0.75,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
874.0,99.0,5.0,366.0,72.0,1.0,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1018.0,44.0,5.0,413.0,80.0,1.0,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
807.0,35.0,5.0,415.0,87.0,1.0,1.0
