Iterations,Susceptible,Infected,Recovered,Dead
274,23,0,0,1
Iterations,Susceptible,Infected,Recovered,Dead
339,87,0,11,1
Iterations,Susceptible,Infected,Recovered,Dead
2093,97,0,66,10
Iterations,Susceptible,Infected,Recovered,Dead
1289,119,0,109,20
Iterations,Susceptible,Infected,Recovered,Dead
160,23,0,1,0
Iterations,Susceptible,Infected,Recovered,Dead
272,92,0,6,1
Iterations,Susceptible,Infected,Recovered,Dead
1580,128,0,35,10
Iterations,Susceptible,Infected,Recovered,Dead
557,215,0,26,7
Iterations,Susceptible,Infected,Recovered,Dead
2161,158,0,135,31
Iterations,Susceptible,Infected,Recovered,Dead
1338,98,0,248,53
Iterations,Susceptible,Infected,Recovered,Dead
1303,99,0,305,69
Iterations,Susceptible,Infected,Recovered,Dead
1348,88,0,380,81
